#,id,Project Name,SHA,Filename:Line number,Specification,Severity,Conclusion
1,209,apache.activemq-artemis,e2d6d072,org.jboss.shrinkwrap.impl.base.MemoryMapArchiveBase.java:398,Collections_SynchronizedMap,error,TrueBug
2,210,apache.activemq-artemis,e2d6d072,org.jboss.shrinkwrap.impl.base.MemoryMapArchiveBase.java:379,Collections_SynchronizedMap,error,TrueBug
3,129,apache.pdfbox,4c6428d7,org.apache.fontbox.ttf.TTFSubsetter.java:1134,TreeSet_Comparable,error,FalseAlarm
4,130,apache.pdfbox,4c6428d7,org.apache.fontbox.ttf.TTFSubsetter.java:1134,SortedSet_Comparable,error,FalseAlarm
5,99,apache.santuario-java,3f4f5f40,org.apache.xml.security.test.stax.IVSplittingOutputStreamTest.java:85,ByteArrayOutputStream_FlushBeforeRetrieve,warning,TrueBug
6,100,apache.santuario-java,3f4f5f40,org.apache.xml.security.test.stax.IVSplittingOutputStreamTest.java:86,ByteArrayOutputStream_FlushBeforeRetrieve,warning,TrueBug
7,16,apache.juneau,0e0c0a0a,org.apache.juneau.rest.RestContext.java:5237,Collections_SynchronizedMap,error,Unknown
8,194,apache.activemq-artemis,e2d6d072,org.apache.activemq.artemis.core.server.group.impl.ClusteredResetMockTest.java:112,CharSequence_NotInSet,warning,FalseAlarm
9,147,apache.pdfbox,4c6428d7,org.apache.pdfbox.cos.TestCOSStream.java:158,ByteArrayOutputStream_FlushBeforeRetrieve,warning,TrueBug
10,249,apache.struts,570f8c3e,com.opensymphony.xwork2.ognl.OgnlValueStackFactory.java:97,Map_UnsafeIterator,error,FalseAlarm
11,18,apache.juneau,0e0c0a0a,org.apache.juneau.rest.mock2.MockServletResponse.java:346,ByteArrayOutputStream_FlushBeforeRetrieve,warning,FalseAlarm
12,179,apache.stanbol,2fcf471b,org.semanticweb.owlapi.vocab.OWLRDFVocabulary.java:393,CharSequence_NotInSet,warning,FalseAlarm
13,182,apache.stanbol,2fcf471b,org.semanticweb.owlapi.vocab.OWLFacet.java:90,CharSequence_NotInSet,warning,FalseAlarm
14,97,apache.santuario-java,3f4f5f40,org.apache.xml.security.test.stax.IVSplittingOutputStreamTest.java:170,ByteArrayOutputStream_FlushBeforeRetrieve,warning,TrueBug
15,98,apache.santuario-java,3f4f5f40,org.apache.xml.security.test.stax.IVSplittingOutputStreamTest.java:171,ByteArrayOutputStream_FlushBeforeRetrieve,warning,TrueBug
16,101,apache.santuario-java,3f4f5f40,org.apache.xml.security.test.stax.IVSplittingOutputStreamTest.java:114,ByteArrayOutputStream_FlushBeforeRetrieve,warning,TrueBug
17,102,apache.santuario-java,3f4f5f40,org.apache.xml.security.test.stax.IVSplittingOutputStreamTest.java:115,ByteArrayOutputStream_FlushBeforeRetrieve,warning,TrueBug
18,204,apache.activemq-artemis,e2d6d072,org.apache.activemq.artemis.protocol.amqp.converter.message.JMSMappingOutboundTransformerTest.java:582,ByteArrayOutputStream_FlushBeforeRetrieve,warning,TrueBug
19,205,apache.activemq-artemis,e2d6d072,org.apache.activemq.artemis.protocol.amqp.converter.message.JMSMappingOutboundTransformerTest.java:584,ByteArrayOutputStream_FlushBeforeRetrieve,warning,FalseAlarm
20,6,apache.juneau,0e0c0a0a,org.apache.juneau.serializer.OutputStreamSerializerSession.java:87,ByteArrayOutputStream_FlushBeforeRetrieve,warning,FalseAlarm
21,29,apache.hive,333264b2,org.apache.hive.common.util.TestBloomFilter.java:557,ByteArrayOutputStream_FlushBeforeRetrieve,warning,TrueBug
22,30,apache.hive,333264b2,org.apache.hive.common.util.TestBloomFilter.java:561,ByteArrayOutputStream_FlushBeforeRetrieve,warning,TrueBug
23,31,apache.hive,333264b2,org.apache.hive.common.util.TestBloomFilter.java:565,ByteArrayOutputStream_FlushBeforeRetrieve,warning,TrueBug
24,157,apache.shiro,010e4567,org.apache.shiro.io.DefaultSerializer.java:50,ByteArrayOutputStream_FlushBeforeRetrieve,warning,TrueBug
25,3,apache.juneau,0e0c0a0a,org.apache.juneau.utils.ASet.java:63,CharSequence_NotInSet,warning,FalseAlarm
26,145,apache.pdfbox,4c6428d7,org.apache.pdfbox.filter.ASCII85OutputStream.java:238,ByteArrayOutputStream_FlushBeforeRetrieve,warning,FalseAlarm
