id,BUGGY,NLOC,CC,TOKEN,PARAM,AssignmentInOperand,BeanMembersShouldSerialize,CheckSkipResult,CloneMethodMustImplementCloneable,CloneMethodReturnTypeMustMatchClassName,CloseResource,CompareObjectsWithEquals,ConstructorCallsOverridableMethod,DataflowAnomalyAnalysis,DetachedTestCase,DoNotCallGarbageCollectionExplicitly,DoNotCallSystemExit,DoNotExtendJavaLangThrowable,DoNotHardCodeSDCard,DoNotThrowExceptionInFinally,DontImportSun,DontUseFloatTypeForLoopIndices,EmptyCatchBlock,EmptyFinalizer,EmptyFinallyBlock,EmptyIfStmt,EmptyWhileStmt,EqualsNull,FinalizeDoesNotCallSuperFinalize,FinalizeOnlyCallsSuperFinalize,FinalizeOverloaded,FinalizeShouldBeProtected,IdempotentOperations,ImportFromSamePackage,InstantiationToGetClass,InvalidSlf4jMessageFormat,JumbledIncrementer,JUnitSpelling,JUnitStaticSuite,LoggerIsNotStaticFinal,MethodWithSameNameAsEnclosingClass,MisplacedNullCheck,MissingBreakInSwitch,MissingSerialVersionUID,MissingStaticMethodInNonInstantiatableClass,MoreThanOneLogger,NonCaseLabelInSwitchStatement,NonStaticInitializer,NullAssignment,OverrideBothEqualsAndHashcode,ProperCloneImplementation,SimpleDateFormatNeedsLocale,SuspiciousHashcodeMethodName,SuspiciousOctalEscape,TestClassWithoutTestCases,UnconditionalIfStatement,UnnecessaryBooleanAssertion,UnnecessaryCaseChange,UnnecessaryConversionTemporary,UnusedNullCheckInEquals,UseCorrectExceptionLogging,UseEqualsToCompareStrings,UselessOperationOnImmutable,UseLocaleWithCaseConversions,UseProperClassLoader,SPEC_is_Iterator_HasNext,SPEC_is_Math_ContendedRandom,SPEC_is_ByteArrayOutputStream_FlushBeforeRetrieve,SPEC_is_Collections_SynchronizedCollection,SPEC_is_Collections_SynchronizedMap,SPEC_is_Serializable_NoArgConstructor,SPEC_is_Closeable_MultipleClose,SPEC_is_Long_BadParsingArgs,SPEC_is_SortedSet_Comparable,SPEC_is_TreeSet_Comparable,SPEC_is_CharSequence_NotInMap,SPEC_is_InputStream_UnmarkedReset,SPEC_is_URLDecoder_DecodeUTF8,SPEC_is_Closeable_MeaninglessClose,SPEC_is_Collection_UnsafeIterator,SPEC_is_URLConnection_Connect,SPEC_is_Map_UnsafeIterator,SPEC_is_Iterator_RemoveOnce,SPEC_is_ListIterator_hasNextPrevious,SPEC_is_ListIterator_Set,SPEC_is_ServerSocket_Backlog,SPEC_is_File_LengthOnDirectory,SPEC_is_Comparable_CompareToNull,SPEC_is_StringTokenizer_HasMoreElements,SPEC_is_Object_MonitorOwner,SPEC_is_Map_ItselfAsValue,SPEC_is_OutputStream_ManipulateAfterClose,SPEC_is_ServerSocket_ReuseAddress,SPEC_is_ShutdownHook_LateRegister,SPEC_is_Socket_Timeout,SPEC_is_InetSocketAddress_Port,SPEC_is_Socket_InputStreamUnavailable,SPEC_is_Socket_OutputStreamUnavailable,SPEC_is_HttpURLConnection_SetBeforeConnect,SPEC_is_URLConnection_SetBeforeConnect,SPEC_is_Byte_BadParsingArgs,SPEC_is_Short_BadParsingArgs,SPEC_is_Reader_ManipulateAfterClose,SPEC_is_Enum_NoExtraWhiteSpace,SPEC_is_Writer_ManipulateAfterClose,SPEC_is_InputStream_ManipulateAfterClose,SPEC_is_CharSequence_UndefinedHashCode,SPEC_is_PriorityQueue_NonComparable,SEVERITY_is_warning,SEVERITY_is_suggestion,SEVERITY_is_error
1,0,10,4,65,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,0,31,12,264,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,0,15,4,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,0,15,4,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5,0,15,10,130,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6,0,15,10,130,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7,0,191,83,1721,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8,0,6,1,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9,0,6,1,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10,0,9,4,101,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11,1,13,1,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
12,1,56,14,463,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
